date,tournament_type,home_team,away_team,home_score,away_score,home_elo_before,away_elo_before,home_elo_after,away_elo_after
1967-05-21,UEFA Euro qualification,REPUBLIC OF IRELAND,CZECHOSLOVAKIA,0,2,1235.5134446083264,1418.6599512664416,1228.691557109283,1428.8927825150067
1967-05-24,UEFA Euro qualification,DENMARK,HUNGARY,0,2,1129.8922300809024,1532.0672916964277,1127.5194083225892,1535.6265243338974
1967-05-24,Friendly,ENGLAND,SPAIN,2,0,1644.0477106040034,1397.1749488948888,1649.1821680918329,1393.7519772363357
1967-05-24,Friendly,GHANA,DR CONGO,2,0,1111.474408324716,931.617784221014,1118.3925425812552,927.0056947166546
1967-05-24,UEFA Euro qualification,SWITZERLAND,ROMANIA,7,1,1196.6589300492014,1292.2145314132733,1226.3371516990308,1272.4290503133873
1967-05-27,Friendly,AUSTRIA,ENGLAND,0,1,1317.2261653763715,1649.1821680918329,1315.0609707334306,1652.4299600562442
1967-05-28,Friendly,RUSSIA,MEXICO,2,0,1521.2991510350073,1350.4493640578105,1528.4852245674163,1345.6586483695378
1967-05-31,UEFA Euro qualification,SPAIN,TURKEY,2,0,1393.7519772363357,1161.0152055212927,1401.9710652566298,1155.5358135077634
1967-06-01,Nordic Championship,FINLAND,NORWAY,0,2,1077.4181579194,1169.218845644446,1067.6269492057434,1183.9056587149312
1967-06-01,UEFA Euro qualification,SWEDEN,PORTUGAL,1,1,1365.3237901323384,1511.9613546574042,1372.4997023739918,1507.1774131629686
1967-06-03,Friendly,FRANCE,RUSSIA,2,4,1281.5198493908943,1528.4852245674163,1278.0983474534903,1533.617477473522
1967-06-04,African Cup of Nations qualification,UGANDA,EGYPT,0,1,907.7355846190064,1075.4226524896867,900.7848846578557,1085.8487024314127
1967-06-04,UEFA Euro qualification,DENMARK,GERMAN DR,1,1,1127.5194083225892,1291.0249330480667,1135.415817717996,1285.7606601177954
1967-06-04,Friendly,BELARUS,MEXICO,2,1,803.7074060526331,1345.6586483695378,827.8414201617919,1329.5693056300986
1967-06-08,UEFA Euro qualification,NORWAY,PORTUGAL,1,2,1183.9056587149312,1507.1774131629686,1180.5137897793325,1512.265216566367
1967-06-11,UEFA Euro qualification,RUSSIA,AUSTRIA,4,3,1533.617477473522,1315.0609707334306,1541.982579885148,1309.4842357923467
1967-06-11,UEFA Euro qualification,SWEDEN,BULGARIA,0,2,1372.4997023739918,1317.7292041435248,1357.2358934679714,1340.6249175025553
1967-06-18,UEFA Euro qualification,CZECHOSLOVAKIA,TURKEY,3,0,1428.8927825150067,1155.5358135077634,1436.001500690942,1150.7966680571399
1967-06-22,Friendly,UGANDA,ZAMBIA,1,3,900.7848846578557,953.377081567215,893.3068808959958,964.5940872100048
1967-06-25,Nordic Championship,DENMARK,SWEDEN,1,1,1135.415817717996,1357.2358934679714,1145.5649901048096,1350.4697785434291
1967-06-25,UEFA Euro qualification,ROMANIA,ITALY,0,1,1272.4290503133873,1476.562814813198,1266.4834514578974,1485.4812130964328
1967-06-25,Copa Rio Branco,URUGUAY,BRAZIL,0,0,1443.7741002301057,1540.9021994427283,1448.679013030604,1537.6322575757292
1967-06-28,Copa Rio Branco,URUGUAY,BRAZIL,2,2,1448.679013030604,1537.6322575757292,1453.1893930458227,1534.6253375655833
1967-06-29,UEFA Euro qualification,NORWAY,BULGARIA,0,0,1180.5137897793325,1340.6249175025553,1188.2675784611108,1335.4557250480364
1967-07-01,Copa Rio Branco,URUGUAY,BRAZIL,1,1,1453.1893930458227,1534.6253375655833,1457.3328369351075,1531.8630416393935
1967-07-02,African Cup of Nations qualification,SENEGAL,LIBERIA,4,1,931.3419722160878,790.1468264312985,944.06408594574,781.665417278197
1967-07-06,Friendly,TANZANIA,ZAMBIA,2,2,850.0738656084085,964.5940872100048,853.8919706303008,962.0486838620766
1967-07-08,Friendly,BENIN,GHANA,2,1,875.9534091502298,1118.3925425812552,896.1507920317125,1104.9276206602667
1967-07-08,Friendly,TANZANIA,ZAMBIA,2,1,853.8919706303008,962.0486838620766,870.2923742388875,951.1150814563521
1967-07-16,UEFA Euro qualification,RUSSIA,GREECE,4,0,1541.982579885148,1031.6887135433644,1544.15688876765,1030.239174288363
1967-07-28,Friendly,PERU,URUGUAY,0,1,1157.2105704230942,1457.3328369351075,1154.6756291741033,1461.1352488085938
1967-07-28,Friendly,PERU,JAPAN,1,0,1154.6756291741033,1056.5196738741251,1163.8077100472653,1050.4316199586838
